"","Criterion","K","N","Design"
"1","EXACT-D","3","11","1 0 0 1 1 1 1 -1 -1 -1 -1 0 1 0 1 1 -1 -1 -1 1 -1 1 0 0 1 1 -1 1 -1 -1 1 1 -1"
"2","EXACT-D","3","12","1 -0.015 -0.015 0.0426 1 1 1 1 -1 -1 -1 -1 -0.015 1 -0.015 -1 1 1 -1 -1 -1 1 -1 1 -0.015 -0.015 1 -1 1 -1 1 -1 -1 1 1 -1"
"3","EXACT-D","3","13","0.1463 1 1 0.0644 0.0644 -1 -1 -1 1 -1 1 -1 1 1 0.1463 1 0.0644 -1 0.0644 -1 1 -1 -1 -1 1 1 1 1 0.1463 -1 0.0644 0.0644 1 -1 1 -1 -1 1 -1"
"4","CEXCH-D","3","11","-1 -1 1 1 1 -0.1 -1 -1 -0.1 -1 1 -1 0.6 -1 0.8 -0.7 1 -1 -0.3 -0.1 1 1 -1 1 -1 -1 1 0 1 0.1 -1 -1 1"
"5","CEXCH-D","3","12","1 1 -1 -1 -0.1 0 -1 -1 1 1 -0.9 0 1 -1 -1 -1 0 1 1 1 1 -1 0 -1 -1 1 -1 1 -1 1 1 -1 1 -1 0 0"
"6","CEXCH-D","3","13","-1 -1 1 1 -1 -0.1 0.1 1 -1 -1 1 1 0.1 -1 1 1 1 -1 -1 -0.1 -1 -0.1 1 -1 0.1 1 -1 0.9 1 -1 1 0.1 -1 -1 1 -1 1 0.1 1"
"7","EXACT-A","3","11","0.1223 -1 -1 -0.2166 -0.2166 1 0.0914 1 1 -1 1 -1 0.1223 -1 -0.2166 1 -0.2166 0.0914 -1 1 1 1 1 1 -0.1223 -1 0.2166 0.2166 -0.0914 -1 -1 -1 1"
"8","EXACT-A","3","12","0.1185 -1 -1 0.0232 -0.1811 1 -0.0474 -1 -1 1 1 1 1 -0.1185 1 -0.0232 -1 0.1811 0.0474 1 -1 1 -1 -1 1 1 0.0814 -0.1403 0.2417 0.2417 -1 -1 -1 -1 -1 1"
"9","EXACT-A","3","13","0 0 -0.1243 0.1243 1 -1 1 -1 1 -1 0 -1 1 -0.0537 -0.0537 1 1 -0.6353 -0.6353 0.2472 0.2472 1 1 -1 -1 -1 0 0 1 -1 -1 1 1 -1 -0.1243 0.1243 0 -1 1"
"10","CEXCH-A","3","11","-0.4 -1 -0.8 -0.4 -0.7 1 0.6 0.3 -1 1 0 -1 -0.1 -1 1 0 0.9 0.1 -0.4 1 -0.7 0.7 1 0.5 -0.7 -0.3 -1 0.4 -1 0 1 0.9 1"
"11","CEXCH-A","3","12","-0.9 1 -1 0.7 0.5 -1 -0.1 -0.4 1 -0.1 1 -1 -1 1 -1 -1 -1 1 0.2 0 -0.5 1 0.4 0.4 -1 1 0.5 -1 1 0.9 -0.1 1 0 -0.7 -1 -1"
"12","CEXCH-A","3","13","1 -1 0.4 1 -0.2 -1 1 -1 -1 0 -0.1 0.5 0.5 -0.7 0.8 -1 0.1 1 1 1 -1 -1 0.2 -0.1 1 -1 0 -1 1 -1 0.1 1 0.9 -1 0.6 1 -0.3 -1 -1"
"13","EXACT-I","3","11","-0.0589 -1 0.1905 0.1905 -0.2349 1 1 -1 -1 -1 1 0.0589 -0.1905 1 -0.1905 -1 0.2349 -1 -1 1 1 1 -0.0589 0.1905 0.1905 -1 1 1 -0.2349 -1 -1 1 -1"
"14","EXACT-I","3","12","-0.0925 -0.0925 -1 0.312 0.312 -0.1685 1 1 -1 1 -1 -1 -0.0925 -0.0925 0.312 -1 0.312 1 -0.1685 1 -1 -1 -1 1 0.0925 0.0925 -0.312 -0.312 1 -1 -1 0.1685 1 1 -1 1"
"15","EXACT-I","3","13","0 0 -0.1243 0.1243 1 -1 1 -1 1 -1 0 -1 1 -0.0537 -0.0537 1 1 -0.6353 -0.6353 0.2472 0.2472 1 1 -1 -1 -1 0 0 1 -1 -1 1 1 -1 -0.1243 0.1243 0 -1 1"
"16","CEXCH-I","3","11","-1 0 -0.3 0.4 0 0.3 1 -1 -1 0.1 1 -0.7 -0.1 1 0.8 -1 -1 -0.7 0.7 0.1 0.3 0.8 0.6 -0.9 -0.4 1 -0.6 1 0 1 -1 0.1 -0.5"
"17","CEXCH-I","3","12","1 -1 0.2 -1 -0.8 0.5 -0.1 -1 0.9 -0.4 1 0.4 0.9 -0.8 1 -1 1 -1 0.1 0.7 0.3 0.1 -0.1 -1 1 -0.9 -0.1 0.6 -1 -0.8 -0.1 0.5 -1 1 0.1 0.8"
"18","CEXCH-I","3","13","1 1 1 1 -1 -1 -0.8 0.5 0 -0.5 -1 0.3 -0.4 1 0.1 -0.4 -1 1 0.8 -1 1 0 -0.7 -0.9 -1 0.3 1 -0.7 0.9 -1 0.4 -1 1 -0.6 -0.1 -1 -0.1 0.2 1"
