"","Criterion","K","N","Design"
"1","EXACT-D","2","7","1 -0.0674759439448996 1 -1 -1 -1 0.0915164835766807 -1 -1 1 -0.067475964805657 -1 1 0.0915164730529626"
"2","EXACT-D","2","8","1 0.082078480281632 -0.215160506350655 1 -1 -1 0.0820785045813574 1 1 1 -2.61578242240212e-08 -1 1 -1 -1 5.34732085976666e-09"
"3","PEXCH-D","2","7","-1 -1 0 0 0 1 1 -1 0.7 -1 0 1 -1 0.7"
"4","PEXCH-D","2","8","-1 -1 -1 0 0 1 1 1 -1 0 1 1 -1 -1 0 1"
"5","CEXCH-D","2","7","-1 1 -1 0.7 0.7 -1 0 1 0 0 1 -1 -1 0"
"6","CEXCH-D","2","8","-1 -1 1 -1 1 1 0 0 0 -1 -1 1 1 0 -1 1"
"7","EXACT-A","2","7","-1 -1 1 -0.218806015674087 0.478014510168134 0.478014477555051 -0.218806015698324 1 -1 2.1213699668097e-08 -9.05873441947143e-09 -1 1 -1.44472953767563e-08"
"8","EXACT-A","2","8","-0.0290710228758048 1 -1 -1 -1 0.0789286114222229 1 -0.0290710231460999 -0.179097656968453 0.571386420480139 1 -1 0.100289572655595 1 -1 -0.179097665356455"
"9","PEXCH-A","2","7","-1 1 -0.1 0.7 -0.9 -1 0.4 0.2 -0.2 0 0.8 1 -1 -0.8"
"10","PEXCH-A","2","8","-1 -0.7 -1 0 0 0.7 1 1 -1 0 1 1 -1 0 -1 1"
"11","CEXCH-A","2","7","-0.75 0.3125 1 0.625 -1 -0.0625 -1 1 -1 -0.5625 0.625 0.25 0 -1"
"12","CEXCH-A","2","8","1 -1 -1 1 0 -1 1 0 0 -1 1 -1 0.7 0 1 -0.7"
"13","EXACT-I","2","7","1 -0.796856757353633 -1 0.147868626178521 0.147868613274981 -0.310497210352822 1 -0.796856199852102 1 -0.310497873261578 0.147868861589813 0.147868894948999 -1 1"
"14","EXACT-I","2","8","1 0.768300843347672 1 -1 -0.00385941992327265 -1 -0.0949362454502221 -0.0949362431281102 0.00385942837655026 1 -1 -0.768300847589113 -1 1 0.094936238281833 0.0949362341706833"
"15","PEXCH-I","2","7","-1 -0.9 -0.3 0.9 0.3 0.1 1 -1 0.3 1 0.8 0 -1 -1"
"16","PEXCH-I","2","8","-1 -1 1 1 0 0 -0.7 0.7 -1 1 -1 1 -1 1 0 0"
"17","CEXCH-I","2","7","0.4 -1 -0.1 -1 0.5 1 -0.7 -0.9 -1 -0.1 0.1 0.7 -0.1 1"
"18","CEXCH-I","2","8","-1 -1 -0.7 0.7 1 1 0 0 -1 0.1 1 1 -1 0.1 0.1 -0.8"
